"","PDescription","TPM_Basal"
"7563","hypothetical protein",1.63
"7564","sterol 24c-methyltransferase",1386.28
"7565","hypothetical protein",0.71
"7566","6,7dimethyl-8-ribityllumazine synthase",14.75
"7567","Mpv17 / PMP22 family protein",6.75
"7568","hypothetical protein",0.03
"7569","hypothetical protein",0.23
"7570","RNA recognition motif domain containing protein",6.39
"7571","hypothetical protein",5.37
"7572","hypothetical protein",2.32
"7573","hypothetical protein",0.03
"7574","hypothetical protein",0.82
"7575","hypothetical protein",0.96
"7576","serine/threonine protein kinase, putative",0.07
"7577","ISSoc2 resolvase, putative",0.34
"7578","hypothetical protein",0.42
"7579","transposase",0.24
"7580","hypothetical protein",0.18
"7581","multiple CXCXC repeat domain containing protein",0.33
"7582","hydrolase",96.01
"7583","protein kinase domain containing protein",13.81
"7584","hypothetical protein",9.29
"7585","alkaline phosphatase family subfamily protein",121.09
"7586","20S proteasome alpha subunit F, putative",147.61
"7587","matrix attachment region binding protein",490.05
"7588","hypothetical protein",15.48
"7589","hypothetical protein",6.38
"7590","myotubularin 1, putative",8.3
"7591","Camk2b protein",44.68
"7592","LIM domain containing protein",36.76
"7593","methyltransferase domain containing protein",6.92
"7594","CAPGly domain containing protein",35.8
"7595","hypothetical protein",25.91
"7596","CBF/Mak21 family protein",16.58
"7597","DHHC zinc finger domain containing protein",13.79
"7598","hypothetical protein",31.01
"7599","CyclinC, putative",13.66
"7600","hypothetical protein",65.48
"7601","Coiled-coil domain containing protein 94, putative",51.21
"7602","hypothetical protein",5.78
"7603","Fbox domain containing protein",9.06
"7604","hypothetical protein",0.22
"7605","hypothetical protein",57.17
"7606","RNB family domain containing protein",100.76
"7607","CBS domain containing protein",461.43
"7608","hypothetical protein",49.8
"7609","MutL dimerization domain containing protein",1.49
"7610","hypothetical protein",2.06
"7611","GTPaseactivator protein for Ras-like GTPase",4.65
"7612","hypothetical protein",9.07
"7613","golgi family protein, putative",1.45
"7614","hypothetical protein",6.56
"7615","hypothetical protein",0.61
"7616","ATPase/histidine kinase/DNA gyrase B/HSP90 domain containing protein",0.01
"7617","Zn-finger in Ran binding protein and others domain containing protein",2.09
"7618","zinc finger, C3HC4 type (RING finger) domain containing protein",8.45
"7619","hypothetical protein",10.6
"7620","RIO1 family/Rio2, Nterminal domain containing protein",6.19
"7621","hypothetical protein",1.32
"7622","hypothetical protein",0.18
"7623","hypothetical protein",0.08
"7624","hypothetical protein",0.17
"7625","hypothetical protein",3.52
"7626","EGFlike domain containing protein",0.7
"7627","hypothetical protein",1.86
"7628","RFX DNA-binding domain containing protein",8.21
"7629","regulator of chromosome condensation (RCC1) repeat domain containing protein",0.3
"7630","protein kinase domain containing protein",5.52
"7631","hypothetical protein",85.76
"7632","endonuclease V protein, putative",2.7
"7633","[Ribulose-bisphosphate-carboxylase]-lysine N-methyltransferase",7.53
"7634","FHA domain containing protein",18.13
"7635","hypothetical protein",63.85
"7636","RhoGEF domain containing protein",2.27
"7637","hypothetical protein",3.13
"7638","oxidoreductase",0.03
"7639","deoxyribosephosphate aldolase/phospho-2-dehydro-3-deoxyheptonate aldolase",15.87
"7640","oxidoreductase molybdopterin binding domain containing protein",0.12
"7641","Hypothetical protein",2.72
"7642","PWWP domain containing protein",18.61
"7643","hypothetical protein",1.12
"7644","hypothetical protein",0.41
"7645","nitrate reductase (NADH), putative",1.05
"7646","hypothetical protein",6.26
"7647","hypothetical protein",55.88
"7648","Alpha-galactosidase",4.39
"7649","hypothetical protein",7.1
"7650","hypothetical protein",11.27
"7651","hypothetical protein",20.84
"7652","DnaJ domain containing protein",20.03
"7653","G-protein beta WD-40 repeat domain containing protein",12.38
"7654","Malonyl-CoA decarboxylase",29.8
"7655","hypothetical protein",18.92
"7656","ATPase/histidine kinase/DNA gyrase B/HSP90 domain containing protein",11.42
"7657","ATPase/histidine kinase/DNA gyrase B/HSP90 domain containing protein",23.67
"7658","hypothetical protein",29.27
"7659","BRCA1/BRCA2containing complex subunit 3, putative",20.44
"7660","hypothetical protein",17.91
"7661","hypothetical protein",1.06
"7662","hypothetical protein",10.69
"7663","hypothetical protein",30.7
"7664","HAD hydrolase, family IIA subfamily protein",35.76
"7665","glucosamine6-phosphate deaminase",38.21
"7666","protein phosphatase 2C domain containing protein",24.82
"7667","hypothetical protein",15.96
"7668","hypothetical protein",6.78
"7669","cyclin, Nterminal domain containing protein",0.39
"7670","hypothetical protein",0
"7671","hypothetical protein",12.5
"7672","tetratricopeptide repeat domain containing protein",60.46
"7673","hypothetical protein",2.79
"7674","CsbD family protein",0.03
"7675","papain family cysteine protease subfamily protein",11.12
"7676","hypothetical protein",9.64
"7677","hypothetical protein",26.96
"7678","hypothetical protein",31.36
"7679","hypothetical protein",42.81
"7680","hypothetical protein",15.74
"7681","Iglike, group 2, putative",7.58
"7682","papain family cysteine protease subfamily protein",64.52
"7683","helicase associated domain containing protein",7.15
"7684","epithiospecifier protein",202.49
"7685","DMT family transporter: UDPglucuronic acid/UDP-N-acetylgalactosamine, putative",21.94
"7686","AMPbinding enzyme domain containing protein",14.38
"7687","hypothetical protein",61.4
"7688","citrate transport family protein",135.4
"7689","hypothetical protein",35.23
"7690","RasGEF domain containing protein",1.5
"7691","hypothetical protein",36.97
"7692","hypothetical protein",39.41
"7693","hypothetical protein",3.52
"7694","SAP domain containing protein",44.32
"7695","transcription factor III family protein",8.53
"7696","RanBP1 domain containing protein",575.02
"7697","Ubiquinone biosynthesis methyltransferase COQ5, putative",67.14
"7698","Transferase family protein",7.94
"7699","carrier superfamily protein",101.66
"7700","eTGF-beta receptor-interacting protein, putative",139.34
"7701","RecF/RecN/SMC domain containing protein",7.33
"7702","hypothetical protein",28.99
"7703","cterminal domain small phosphatase, putative",22.66
"7704","COP9 signalosome complex subunit 4, putative",79.6
"7705","transducin family protein",28.27
"7706","sestrinlike protein",28.07
"7707","ABC transporter, ATPbinding domain containing protein",68.7
"7708","hypothetical protein",1377.91
"7709","Sec34 family protein",13.72
"7710","vitamin k epoxide reductase family protein",43.59
"7711","RNA recognition motif domain containing protein",14.08
"7712","von HippelLindau binding protein 1, putative",78.43
"7713","viral Atype inclusion protein, putative",21.33
"7714","RhoGAP domain containing protein",17.78
"7715","hypothetical protein",32.81
"7716","hypothetical protein",78.92
"7717","JmjC domain containing protein 5 (Jumonji domain-containing protein 5), putative",107.3
"7718","calponin domain containing protein",0.37
"7719","1acylglycerophosphocholine O-acyltransferase 1, putative",8.17
"7720","Pumiliofamily RNA binding repeat domain containing protein",25.84
"7721","pentatricopeptide repeat domain containing protein",3.85
"7722","HECTdomain (ubiquitin-transferase) domain containing protein",10.52
"7723","hypothetical protein",1.27
"7724","PPR repeat-containing protein",1
"7725","RhoGAP domain containing protein",23.62
"7726","TolAlike protein",45.14
"7727","protein tolA, putative",26.11
"7728","electrontransfer-flavoprotein, beta polypeptide, putative",250.24
"7729","Bbox zinc finger domain containing protein",0.07
"7730","BRCA1 C Terminus (BRCT) domain containing protein",2.05
"7731","EF1 guanine nucleotide exchange domain containing protein",1626.61
"7732","hypothetical protein",16.63
"7733","type I phosphodiesterase/nucleotide pyrophosphatase",18.01
"7734","ATPdependent RNA helicase DBP5, putative",142.44
"7735","1acylglycerophosphocholine O-acyltransferase 1, putative",5.56
"7736","hypothetical protein",33.55
"7737","TolAlike protein",32.2
"7738","TolAlike protein",22.71
"7739","DNA cross-link repair protein, putative",4.43
"7740","hypothetical protein",4.78
"7741","hypothetical protein",0.25
"7742","PH domain containing protein",22.6
"7743","hypothetical protein",32.59
"7744","phosphoinositide 3-kinase family, accessory domain (pik domain) domain containing protein",7.29
"7745","N(5'phosphoribosyl)anthranilate isomerase",46.18
"7746","RFX DNAbinding domain containing protein",56.02
"7747","hypothetical protein",12.55
"7748","hypothetical protein",21.42
"7749","hypothetical protein",10.05
"7750","FYVE zinc finger domain containing protein",14
"7751","RFX DNAbinding domain containing protein",7.24
"7752","phosphate transporter, putative",9.82
"7753","pentatricopeptide repeat domain containing protein",95.6
"7754","dihydrofolate reductase",25.06
"7755","CBS domain containing protein-related, putative",10.05
"7756","hypothetical protein",62.17
"7757","hypothetical protein",0.26
"7758","Hypothetical protein",29.47
"7759","hypothetical protein",19.34
"7760","hypothetical protein",10.42
"7761","glycine cleavage system Pprotein",402.56
"7762","hypothetical protein",25.98
"7763","SRFtype transcription factor (DNA-binding and dimerization domain) domain containing protein",444.7
"7764","regulator of chromosome condensation (RCC1) repeat domain containing protein",11.53
"7765","glycoside hydrolase family protein",163.51
"7766","hypothetical protein",74.69
"7767","guanine nucleotide-binding protein beta subunit, putative",1621.8
"7768","LAO/AO transport system ATPase",69.75
"7769","protein kinase domain containing protein",24.72
"7770","protein kinase domain containing protein",10.24
"7771","hypothetical protein",1.8
"7772","Poly(ADPribose) polymerase catalytic domain containing protein",7.4
"7773","hypothetical protein",59.87
"7774","tetratricopeptide repeat domain containing protein",17.09
"7775","hypothetical protein",2.01
"7776","flavin reductaselike, FMN-binding, putative",71.31
"7777","hypothetical protein",32.56
"7778","Prokumamolisin, activation domain containing protein",45.78
"7779","RhoGAP domain containing protein",1.84
"7780","SH3 domain containing protein",16.69
"7781","glutaminase",25.55
"7782","DEAD/DEAH box helicase domain containing protein",21.78
"7783","hypothetical protein",310.81
"7784","hypothetical protein",243.58
"7785","domain found in if2b/if5 domain containing protein",400.45
"7786","aspartyl/asparaginyl betahydroxylase",27.01
"7787","hypothetical protein",27.99
"7788","fructose-1,6-bisphosphatase, putative",187.58
"7789","hypothetical protein",31.33
"7790","phospholipase D active site domain containing protein",19.69
"7791","carrier superfamily protein",34.41
"7792","leucine rich repeat domain containing protein",37.65
"7793","Fbox domain containing protein",7.54
"7794","glycosyl hydrolases family 2, TIM barrel domain containing protein",13.35
"7795","LacZ, putative",9.75
"7796","glycoside hydrolase family protein",7.68
"7797","tetratricopeptide repeat domain containing protein",7.71
"7798","Autophagy-related protein 27 protein",77.34
"7799","elongation factor 1-alpha, putative",3641.75
"7800","hypothetical protein",12.26
"7801","protein kinase domain containing protein",2.38
"7802","Calciumbinding atopy-related autoantigen 1, putative",1.29
"7803","hypothetical protein",5.68
"7804","abhydrolase domain containing protein 3, putative",3.61
"7805","2oxoglutarate and iron-dependent oxygenase domain containing protein 2, putative",1.33
"7806","hypothetical protein",24.76
"7807","Ras subfamily protein",5.8
"7808","hypothetical protein",0
"7809","hypothetical protein",0.16
"7810","hypothetical protein",0.54
"7811","hypothetical protein",0.01
"7812","hypothetical protein",0.02
"7813","hypothetical protein",0.55
"7814","hypothetical protein",8.22
"7815","hypothetical protein",2.95
"7816","RasGEF domain containing protein",26.97
"7817","RWD domain containing protein",13.33
"7818","hypothetical protein",35.75
"7819","endonuclease/exonuclease/phosphatase family protein",0.92
"7820","Ras subfamily protein",1.03
"7821","rhamnosebinding lectin (SAL), putative",65.34
"7822","hypothetical protein",1.9
"7823","hypothetical protein",6.71
"7824","dual specificity phosphatase, catalytic domain containing protein",11.84
"7825","glutathione transferase family protein",0.03
"7826","regulator of chromosome condensation (RCC1) repeat domain containing protein",9.99
"7827","allantoicase repeat domain containing protein",10.56
"7828","hypothetical protein",0.31
"7829","transmembrane 9 superfamily protein member 4, putative",316.41
"7830","CBS domain containing protein",299.56
"7831","hypothetical protein",0.35
"7832","hypothetical protein",0.02
"7833","BNR/Aspbox repeat domain containing protein",0.02
"7834","ADPribosylation factor, putative",37.03
"7835","lipase",7.94
"7836","Rasrelated protein Rab-2B, putative",71.4
"7837","alcohol dehydrogenase",401.14
"7838","hypothetical protein",9.72
"7839","endonuclease/exonuclease/phosphatase family protein",23.55
